raceId,driverId,constructorId,rank,points,grid,position,positionOrder,positionText,firstLapChange,pitStops
39,9,2,5,5,5,4,4,4,0,
39,14,9,8,4,9,5,5,5,2,
39,3,3,10,3,11,6,6,6,2,
39,5,4,4,2,8,7,7,7,0,
39,11,8,12,1,13,8,8,8,0,
39,21,4,9,0,10,9,9,9,-2,
39,22,11,14,0,12,10,10,10,2,
39,19,8,15,0,15,11,11,11,-3,
39,18,11,13,0,14,12,12,12,3,
39,16,12,16,0,20,13,13,13,3,
39,27,12,18,0,21,14,14,14,1,
40,4,1,1,10,1,1,1,1,0,
40,1,1,2,8,2,2,2,2,0,
40,13,6,4,6,3,3,3,3,0,
40,21,4,5,5,4,4,4,4,0,
40,9,2,3,4,8,5,5,5,-1,
40,2,2,12,3,7,6,6,6,2,
40,25,3,7,2,11,7,7,7,1,
40,8,6,6,1,16,8,8,8,4,
40,26,5,10,0,18,9,9,9,4,
40,22,11,13,0,9,10,10,10,2,
40,18,11,9,0,10,11,11,11,-1,
40,3,3,11,0,5,12,12,12,-1,
40,5,4,14,0,15,13,13,13,-1,
40,14,9,8,0,13,14,14,14,-2,
40,15,7,18,0,14,15,15,15,-4,
40,23,7,17,0,20,16,16,16,-2,
40,11,8,15,0,21,17,17,17,4,
40,19,8,16,0,17,18,18,18,-2,
40,27,12,20,0,22,19,19,19,1,
41,1,1,2,10,1,1,1,1,0,
41,2,2,3,8,3,2,2,2,1,
41,25,3,11,6,19,3,3,3,4,
41,5,4,13,5,22,4,4,4,4,
41,8,6,5,4,4,5,5,5,-2,
41,11,8,12,3,11,6,6,6,1,
41,4,1,1,2,2,7,7,7,-1,
41,23,7,10,1,18,8,8,8,-1,
41,17,9,9,0,6,9,9,9,-3,
41,3,3,6,0,7,10,10,10,2,
41,19,8,15,0,17,11,11,11,0,
41,22,11,14,0,13,12,12,12,0,
43,8,6,2,10,3,1,1,1,1,
43,13,6,1,8,1,2,2,2,0,
43,1,1,4,6,2,3,3,3,-1,
43,9,2,10,5,4,4,4,4,0,
43,2,2,7,4,7,5,5,5,1,
43,21,4,5,3,5,6,6,6,0,
43,4,1,3,2,10,7,7,7,2,
43,18,11,6,1,12,8,8,8,3,
43,3,3,9,0,9,9,9,9,2,
43,23,7,8,0,11,10,10,10,0,
43,22,11,12,0,13,11,11,11,3,
43,17,9,14,0,14,12,12,12,2,
43,14,9,15,0,16,13,13,13,3,
43,25,3,13,0,18,14,14,14,3,
43,5,4,11,0,6,15,15,15,-14,
43,11,8,16,0,22,16,16,16,6,
43,16,12,18,0,21,17,17,17,3,
44,8,6,1,10,2,1,1,1,0,
44,4,1,3,8,3,2,2,2,0,
44,1,1,4,6,1,3,3,3,0,
44,9,2,6,5,5,4,4,4,1,
44,13,6,2,4,4,5,5,5,-15,
44,2,2,5,3,9,6,6,6,2,
44,5,4,9,2,7,7,7,7,2,
44,21,4,7,1,8,8,8,8,2,
44,22,11,13,0,14,9,9,9,-2,
44,18,11,16,0,18,10,10,10,1,
44,14,9,12,0,12,11,11,11,1,
44,3,3,11,0,17,12,12,12,3,
44,25,3,10,0,13,13,13,13,0,
44,11,8,14,0,21,14,14,14,-1,
44,27,12,21,0,22,15,15,15,1,
44,24,5,17,0,16,16,16,16,1,
45,4,1,2,10,2,1,1,1,-1,
45,13,6,1,8,3,2,2,2,1,
45,17,9,8,6,6,3,3,3,0,
45,25,3,5,5,12,4,4,4,8,
45,14,9,6,4,20,5,5,5,3,
45,2,2,7,3,4,6,6,6,-17,
45,9,2,9,2,5,7,7,7,-6,
45,5,4,11,1,7,8,8,8,-3,
45,1,1,3,0,10,9,9,9,-8,
45,21,4,12,0,13,10,10,10,5,
45,22,11,14,0,14,11,11,11,-5,
45,19,8,13,0,15,12,12,12,1,
45,15,7,10,0,8,13,13,13,3,
46,1,1,2,10,1,1,1,1,0,
46,8,6,1,8,3,2,2,2,1,
46,2,2,5,6,2,3,3,3,-1,
46,4,1,3,5,6,4,4,4,-2,
46,9,2,4,4,7,5,5,5,1,
46,23,7,9,3,5,6,6,6,0,
46,3,3,6,2,4,7,7,7,0,
46,5,4,8,1,11,8,8,8,2,
46,17,9,7,0,9,9,9,9,2,
46,15,7,12,0,8,10,10,10,-4,
46,14,9,14,0,10,11,11,11,0,
46,21,4,15,0,13,12,12,12,2,
46,13,6,11,0,14,13,13,13,-2,
