raceId,driverId,constructorId,rank,points,grid,position,positionOrder,positionText,firstLapChange,pitStops
36,15,7,13,0,8,9,9,9,-1,
36,17,9,9,0,7,13,13,13,0,
36,21,4,7,4,6,5,5,5,0,
36,9,2,4,0,5,,20,R,0,
36,1,1,3,6,4,3,3,3,1,
36,2,2,6,5,3,4,4,4,1,
36,4,1,2,8,2,2,2,2,-2,
36,8,6,1,10,1,1,1,1,0,
37,22,11,15,0,22,11,11,11,2,
37,16,12,,0,21,,22,R,-999,
37,27,12,21,0,20,,21,R,-1,
37,25,3,8,0,19,9,9,9,1,
37,19,8,20,0,18,16,16,16,3,
37,26,5,18,0,17,14,14,14,3,
37,24,5,12,0,16,17,17,17,-1,
37,18,11,16,0,15,12,12,12,-1,
37,11,8,13,0,14,13,13,13,-5,
37,14,9,11,0,13,,20,R,1,
37,21,4,9,3,12,6,6,6,4,
37,5,4,7,1,11,8,8,8,1,
37,17,9,14,0,10,10,10,10,-1,
37,23,7,19,0,9,15,15,15,-4,
37,15,7,10,2,8,7,7,7,-1,
37,9,2,17,0,7,18,18,18,1,
37,3,3,6,0,6,,19,R,-1,
37,2,2,5,5,5,4,4,4,0,
37,1,1,1,8,4,2,2,2,2,
37,8,6,4,6,3,3,3,3,-1,
37,4,1,2,10,2,1,1,1,1,
37,13,6,3,4,1,5,5,5,-2,
38,27,12,20,0,22,14,14,14,3,
38,14,9,9,0,21,,18,R,6,
38,16,12,19,0,20,15,15,15,0,
38,26,5,,0,19,,22,R,-999,
38,24,5,13,0,18,,20,R,1,
38,11,8,18,0,17,,19,R,3,
38,18,11,,0,16,,21,R,-999,
38,22,11,14,0,15,13,13,13,-1,
38,23,7,15,0,14,12,12,12,-4,
38,19,8,17,0,13,16,16,16,1,
38,5,4,10,0,12,9,9,9,3,
38,25,3,16,0,11,11,11,11,0,
38,3,3,11,0,10,10,10,10,-3,
38,15,7,7,2,9,7,7,7,-1,
38,17,9,12,0,8,,17,R,0,
38,21,4,8,1,7,8,8,8,0,
38,9,2,6,3,6,6,6,6,0,
38,2,2,5,5,5,4,4,4,0,
38,4,1,4,4,4,5,5,5,1,
38,8,6,3,6,3,3,3,3,-1,
38,1,1,2,8,2,2,2,2,0,
38,13,6,1,10,1,1,1,1,0,
39,26,5,20,0,22,,18,R,8,
39,27,12,18,0,21,14,14,14,1,
39,16,12,16,0,20,13,13,13,3,
39,17,9,21,0,19,,21,R,3,
39,25,3,,0,18,,22,R,-4,
39,23,7,11,0,17,,16,R,-4,
39,24,5,17,0,16,,17,R,1,
39,19,8,15,0,15,11,11,11,-3,
39,18,11,13,0,14,12,12,12,3,
39,11,8,12,1,13,8,8,8,0,
39,22,11,14,0,12,10,10,10,2,
39,3,3,10,3,11,6,6,6,2,
39,21,4,9,0,10,9,9,9,-2,
39,14,9,8,4,9,5,5,5,2,
39,5,4,4,2,8,7,7,7,0,
39,2,2,7,0,7,,15,R,1,
39,15,7,19,0,6,,20,R,-13,
39,9,2,5,5,5,4,4,4,0,
