DriverId,DriverName,FirstLapChangeList,FirstLapChangeMin,FirstLapChangeMax,FirstLapChangeFirstQuartile,FirstLapChangeMedian,FirstLapChangeThirdQuartile,FirstLapChangeMean,FirstLapChangeSd
13,Felipe Massa,"4,5,3,3,2,0,1,1,-2,7,1,-1,1,4,7,1,2,-4,3,2,-9,2,1,0,-1,0,1,-1,-1,6,-1,4,-11,5,2,1,0,0,0,2,2,1,2,5,2,1,1,-1,-9,0,0,0,2,2,0,0,2,3,-8,1,0,0,0,2,-1,-18,0,0,2,0,2,0,0,0,2,-8,-15,0,1,0,-9,3,-16,-1,1,6,2,0,4,0,0,6,1,3,2,-9,2,-2,-5,3,2,0,-3,-2,2,-2,-1,-1,-1,0,-2,-4,2,1,3,-2,0,-3,6,2,1,0,3,9,0,1,1,2,1,2,3,0,0,0,0,0,0,0,0,1,2,2,1,-1,3,-3,0,0,0,-2,0,1,1,2,3,0,3,1,0,5,-2,2,4,-1,1,0,0,1,0,-1,1,0,6,0,0,-15,-2,0,0,2,3,0,0,-11,7,",-18,9,0,0,2,0,3.7416573867739413
14,David Coulthard,"-4,2,2,1,-1,0,2,4,-1,2,4,1,0,3,-2,1,2,3,0,2,1,-19,0,1,0,0,-2,0,-1,1,-20,0,1,1,3,1,-7,2,0,-1,0,3,-4,3,-2,0,-2,0,1,0,-1,-1,3,3,1,0,-1,0,3,1,1,0,3,2,-5,-4,5,-1,3,2,-1,0,0,4,2,0,3,1,3,-1,-1,-1,-2,0,-2,1,1,5,0,1,-8,1,1,-7,-6,-13,-2,3,0,1,0,1,1,1,-1,-5,0,-1,2,0,6,3,8,0,1,-2,1,4,-1,-9,4,0,-1,-1,0,0,2,2,0,0,-1,4,-2,0,6,",-20,8,-1,0,2,0,3.6055512754639891
15,Jarno Trulli,"-1,0,4,3,5,5,3,-3,-1,1,0,3,-11,2,-6,0,1,2,-1,-1,0,1,-1,0,-1,-1,0,3,2,1,-1,3,7,4,3,3,1,-4,-3,1,0,0,2,0,-1,0,1,1,0,1,-1,-2,0,1,0,2,-1,1,1,-2,7,9,-2,1,1,5,3,-3,5,-1,8,-10,2,2,3,3,5,0,-4,-6,-1,1,-3,0,4,4,1,3,-3,-3,0,0,4,0,-1,-3,1,-4,-1,0,1,-1,0,6,-2,6,3,0,-1,2,1,0,1,2,1,0,3,3,6,-1,2,3,1,1,-4,-1,-2,-2,1,2,2,1,2,2,-1,1,7,-3,4,-1,-1,6,1,4,8,",-11,9,-1,1,3,0,3.0
16,Adrian Sutil,"-2,-2,4,2,1,2,-1,1,-1,0,1,-12,-16,3,3,-1,5,0,1,2,0,-1,2,0,2,1,3,0,1,0,2,1,-1,0,1,-12,-1,0,4,-5,0,4,-1,1,3,1,-1,-11,5,-1,2,1,-5,3,5,1,0,1,-4,-1,1,2,1,2,6,0,2,",-16,6,-1,1,2,0,3.872983346207417
17,Mark Webber,"0,-1,10,-11,-1,0,-4,-5,2,-1,-2,-1,-6,1,2,1,-1,1,4,4,-1,0,1,-1,-1,-2,-3,-5,0,0,-2,-1,-4,-2,-2,2,0,0,-1,0,0,-1,-3,4,0,0,1,2,0,0,1,-1,2,-1,2,0,4,-16,0,0,-1,0,1,-1,0,-10,5,5,-1,1,0,2,2,-1,1,1,1,-1,-2,4,3,0,0,-1,3,-5,-5,4,-3,0,1,5,-4,1,1,-5,-3,-1,-4,4,-1,2,1,1,0,0,1,-3,2,0,2,0,1,0,-1,-1,0,1,-1,4,-1,-1,1,1,-1,0,0,2,-3,0,0,-1,0,-20,-1,",-20,10,-1,0,1,-1,3.4641016151377544
18,Jenson Button,"1,0,-3,0,2,0,-2,-2,1,1,-1,4,0,0,-1,0,0,4,2,5,-2,2,0,0,2,1,3,-3,-1,0,0,-2,2,0,0,3,1,0,0,1,2,1,-1,0,-5,2,-3,-5,-3,4,-9,-1,-2,-1,2,0,0,-2,1,1,0,1,0,0,0,3,1,0,0,0,-1,-1,3,-1,0,1,0,-1,1,-1,0,5,5,5,1,-3,6,3,0,1,0,1,-1,-2,1,5,5,-1,-1,1,5,3,-2,3,2,-1,-3,0,-1,-4,0,1,5,2,2,0,1,0,1,0,2,0,4,1,1,0,0,1,3,1,1,-3,-2,0,5,-8,7,0,3,-1,0,-1,-2,0,0,1,2,0,-2,-1,3,3,4,-2,3,3,-4,5,2,0,0,3,0,3,1,5,-1,1,1,2,-2,-2,0,0,0,-1,1,2,1,-1,2,1,1,0,-2,-1,0,-1,5,0,0,2,0,3,-1,-2,1,",-9,7,-1,0,2,0,2.2360679774997898
19,Anthony Davidson,"-10,1,3,2,1,-3,-2,0,-1,-2,3,1,",-10,3,-2,1,2,-1,3.3166247903553998
20,Sebastian Vettel,"1,0,1,0,0,2,0,2,2,0,1,0,-2,0,7,-2,0,0,0,0,0,1,-2,0,0,0,1,1,1,2,1,2,1,0,3,0,0,0,0,0,0,0,0,0,1,2,2,-2,0,0,-23,1,-1,-3,-2,0,-1,1,-2,0,3,1,2,0,0,-1,0,-1,2,0,0,-2,-1,1,-1,-2,1,0,2,-15,0,0,-6,1,-1,-1,0,0,3,1,1,0,-3,-1,5,0,-2,-2,-3,0,1,0,-4,0,2,4,1,0,-18,0,-1,0,0,1,-2,-1,1,0,0,0,0,-1,0,2,2,-1,-7,0,0,",-23,7,-1,0,1,-1,3.3166247903553998
21,Giancarlo Fisichella,"0,-17,0,0,5,-2,1,4,-1,4,0,-4,1,1,-5,2,4,0,0,4,4,-2,0,0,1,4,-2,2,1,4,0,1,1,1,0,-1,1,0,2,-2,-1,-1,-2,0,3,1,3,5,1,0,0,0,-1,0,-1,0,0,2,0,1,3,1,2,1,7,1,1,6,2,1,1,-4,1,3,2,1,1,-1,2,0,-1,1,-1,-1,0,-2,6,5,0,0,1,0,0,2,-3,-4,-6,4,2,-1,3,0,1,0,0,0,1,2,3,0,-2,-8,0,2,-1,-1,0,4,5,1,-8,5,-3,2,0,-1,6,4,-1,4,2,1,7,-1,-1,1,-2,1,-6,1,2,1,2,1,",-17,7,0,1,2,0,2.8284271247461903
22,Rubens Barrichello,"2,2,3,0,-3,-1,-12,-5,-1,-2,2,5,1,-1,0,0,1,3,-15,-1,-1,1,7,0,0,1,2,-1,2,0,0,-2,2,2,5,-1,1,2,0,-1,-1,-1,-2,1,-2,0,5,1,0,1,0,1,0,0,2,-1,7,-3,0,2,3,1,1,0,3,1,0,2,5,6,-2,-2,1,0,-2,-12,2,1,1,0,2,-4,2,-13,0,1,9,2,-3,4,-3,1,-6,0,0,1,0,2,6,-4,3,4,0,-2,-8,1,2,0,-10,-1,1,1,-2,1,0,0,1,0,1,1,0,3,1,-1,-7,3,1,3,1,-2,1,0,0,-1,0,4,0,1,-1,0,-1,-7,-5,-3,-2,2,1,3,-3,0,4,2,2,1,-2,-2,0,-1,-2,1,1,5,-2,-10,-1,0,1,-2,1,6,0,0,-3,4,2,",-15,9,-1,0,2,0,3.3166247903553998
